id,campaign_id,poster_model_id,priority,created_at,updated_at
1,11,4,1,2019-01-23 17:23:00,2019-01-23 17:23:00
2,11,1,2,2019-01-24 17:23:00,2019-01-24 17:23:00
3,11,3,4,2019-01-25 17:23:00,2019-05-28 12:43:07
5,11,5,5,2019-01-27 17:23:00,2019-05-28 12:43:06
16,10,4,1,2019-03-11 16:29:47,2019-03-11 16:29:47
17,10,1,2,2019-03-11 16:29:58,2019-03-11 16:29:58
18,10,2,3,2019-03-11 16:30:07,2019-03-11 16:30:07
19,10,3,4,2019-03-11 16:30:14,2019-03-11 16:30:14
20,10,5,5,2019-03-11 16:30:23,2019-03-11 16:30:23
21,11,2,3,2019-05-28 12:42:57,2019-05-28 12:43:06
22,12,4,1,2019-06-13 16:28:55,2019-06-13 16:28:55
23,12,1,2,2019-06-13 16:29:00,2019-06-13 16:29:00
24,12,2,3,2019-06-13 16:29:06,2019-06-13 16:29:06
25,12,3,4,2019-06-13 16:29:11,2019-06-13 16:29:11
26,12,5,5,2019-06-13 16:29:18,2019-06-13 16:29:18
27,9,4,1,2019-06-18 11:40:10,2019-06-18 11:40:10
28,9,1,2,2019-06-18 11:40:16,2019-06-18 11:40:16
29,9,2,3,2019-06-18 11:40:20,2019-06-18 11:40:20
30,9,3,4,2019-06-18 11:40:25,2019-06-18 11:40:25
31,9,5,5,2019-06-18 11:40:30,2019-06-18 11:40:30
32,8,4,1,2019-06-18 13:20:31,2019-06-18 13:20:31
33,8,1,2,2019-06-18 13:20:37,2019-06-18 13:20:37
34,8,2,3,2019-06-18 13:20:46,2019-06-18 13:20:46
35,8,3,4,2019-06-18 13:20:51,2019-06-18 13:20:51
36,8,5,5,2019-06-18 13:20:57,2019-06-18 13:20:57
37,7,4,1,2019-06-19 17:53:54,2019-06-19 17:53:54
38,7,1,2,2019-06-19 17:53:58,2019-06-19 17:53:58
39,7,2,3,2019-06-19 17:54:08,2019-06-19 17:54:08
40,7,3,4,2019-06-19 17:54:13,2019-06-19 17:54:13
41,7,5,5,2019-06-19 17:54:18,2019-06-19 17:54:18
42,6,4,1,2019-06-19 17:56:15,2019-06-19 17:56:15
43,6,1,2,2019-06-19 17:56:22,2019-06-19 17:56:22
44,6,2,3,2019-06-19 17:56:28,2019-06-19 17:56:28
45,6,3,4,2019-06-19 17:56:33,2019-06-19 17:56:33
46,6,5,5,2019-06-19 17:56:37,2019-06-19 17:56:37
47,5,4,1,2019-06-19 17:57:37,2019-06-19 17:57:37
48,5,1,2,2019-06-19 17:57:43,2019-06-19 17:57:43
49,5,2,3,2019-06-19 17:57:47,2019-06-19 17:57:47
50,5,3,4,2019-06-19 17:57:52,2019-06-19 17:57:52
51,5,5,5,2019-06-19 17:57:55,2019-06-19 17:57:55
52,4,4,1,2019-06-20 11:27:43,2019-06-20 11:27:43
53,4,1,2,2019-06-20 11:27:54,2019-06-20 11:27:54
54,4,2,3,2019-06-20 11:27:59,2019-06-20 11:27:59
55,4,3,4,2019-06-20 11:28:03,2019-06-20 11:28:03
56,4,5,5,2019-06-20 11:28:07,2019-06-20 11:28:07
57,16,4,1,2019-08-01 18:06:05,2019-08-01 18:06:05
58,16,1,2,2019-08-01 18:06:11,2019-08-01 18:06:11
59,16,2,3,2019-08-01 18:06:15,2019-08-01 18:06:15
60,16,3,4,2019-08-01 18:06:20,2019-08-01 18:06:20
61,16,5,5,2019-08-01 18:06:25,2019-08-01 18:06:25
